duration_ms,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
212400,1960,0.578,0.526,0.166,3.87e-05,0.102,-17.171,0.031,78.796,0.262,9
93653,2011,0.00163,0.406,0.792,1.82e-05,0.357,-6.387,0.0585,168.881,0.41,46
169440,1935,0.957,0.713,0.0784,0.013,0.204,-13.437,0.0635,138.954,0.736,0
184173,1986,0.335,0.685,0.571,2.38e-06,0.214,-11.623,0.0299,121.737,0.869,53
197800,1950,0.977,0.572,0.299,0.892,0.129,-14.095,0.0448,122.575,0.438,0
330400,1989,0.000175,0.342,0.888,0.46,0.139,-11.883,0.0463,126.69,0.195,30
210600,1959,0.916,0.311,0.119,2.81e-06,0.154,-16.168,0.0334,95.515,0.193,12
197293,1973,0.503,0.328,0.325,2.43e-05,0.246,-18.464,0.0479,171.977,0.521,34
360427,2001,0.00346,0.743,0.798,0.00131,0.259,-8.263,0.0557,128.968,0.928,62
123749,1958,0.922,0.373,0.0106,0.959,0.102,-27.67,0.0911,188.895,0.164,30
344813,1997,0.548,0.709,0.347,0.00263,0.121,-9.055,0.0676,109.882,0.37,48
368667,2000,0.00188,0.345,0.797,0.0668,0.145,-6.152,0.0551,117.987,0.223,61
216973,2001,6.05e-05,0.408,0.97,0.171,0.0812,-3.882,0.125,118.441,0.223,45
368107,1958,0.551,0.535,0.503,0.0024,0.331,-13.488,0.0526,70.679,0.885,8
229987,1955,0.908,0.585,0.309,0.00481,0.319,-12.781,0.0457,143.259,0.929,6
1175573,1958,0.679,0.526,0.45,0.359,0.23,-11.118,0.0724,100.352,0.41,16
464400,1990,2.63e-05,0.343,0.942,0.0136,0.0701,-4.756,0.0866,114.577,0.369,37
144293,1968,0.374,0.4,0.455,2.54e-06,0.246,-10.679,0.0338,115.531,0.532,40
290160,1963,0.905,0.693,0.0742,0.431,0.15,-24.38,0.0597,104.331,0.286,11
244333,1999,0.249,0.792,0.79,0.0,0.0705,-9.033,0.407,97.517,0.411,50
256013,2011,0.0226,0.462,0.778,0.0,0.108,-4.365,0.0313,77.004,0.219,49
192734,1928,0.988,0.632,0.345,0.905,0.219,-12.593,0.0448,121.738,0.804,0
462467,1950,0.796,0.102,0.311,0.936,0.647,-13.108,0.0385,74.379,0.133,0
204627,2008,0.00503,0.792,0.865,1.64e-06,0.0375,-3.04,0.0337,103.935,0.833,57
90426,1954,0.978,0.374,0.0232,0.000187,0.178,-20.266,0.0567,136.72,0.0941,12
183440,1941,0.838,0.635,0.281,0.0171,0.0685,-10.044,0.0361,139.929,0.555,1
68706,1951,0.923,0.71,0.172,0.0,0.111,-22.228,0.51,86.588,0.19,0
253800,1959,0.942,0.656,0.137,0.703,0.094,-21.364,0.0343,98.005,0.426,36
199107,1940,0.945,0.449,0.682,0.575,0.0898,-6.812,0.0374,116.096,0.705,0
260093,2001,0.00649,0.721,0.563,7.78e-05,0.182,-6.848,0.0343,119.972,0.0875,40
156793,1941,0.995,0.672,0.0454,0.714,0.109,-17.232,0.326,129.541,0.765,0
275400,2013,0.154,0.438,0.852,0.726,0.112,-6.379,0.177,171.988,0.346,53
194467,1948,0.96,0.193,0.0782,0.697,0.522,-27.849,0.0402,61.779,0.0751,0
128413,1953,0.868,0.555,0.21,0.0,0.0952,-12.701,0.0692,76.134,0.482,0
227747,1992,0.455,0.471,0.31,3.16e-06,0.289,-11.583,0.024,147.686,0.274,48
116907,1970,0.984,0.466,0.0763,0.056,0.108,-23.213,0.0448,93.275,0.675,24
63901,1941,0.0016,0.256,0.992,0.0,0.376,-3.8,0.0986,96.239,0.186,0
262000,1987,0.294,0.573,0.936,0.0327,0.116,-4.195,0.0321,106.103,0.784,46
264440,2008,0.0229,0.698,0.828,0.0,0.0836,-5.248,0.0756,124.964,0.484,45
251800,1955,0.892,0.514,0.471,0.915,0.132,-7.779,0.0382,166.543,0.61,9
254893,1981,0.0036,0.806,0.708,0.901,0.19,-9.265,0.0486,125.589,0.396,26
142400,1961,0.929,0.446,0.184,1.23e-05,0.113,-17.153,0.0313,93.568,0.521,40
